year,patcnty,agegrp,count
2010,Mendocino,Total Births,1021
2010,Mendocino,Older Mothers (35 years old or older),119
2010,Mendocino,Teen Mothers (15 years old to 19 years old),105
2010,Mendocino,Typical Aged Mothers (20 years old to 34 years old),797
2010,Merced,Total Births,4178
2010,Merced,Older Mothers (35 years old or older),466
2010,Merced,Teen Mothers (15 years old to 19 years old),502
2010,Merced,Typical Aged Mothers (20 years old to 34 years old),3203
2010,Monterey,Total Births,6469
2010,Monterey,Older Mothers (35 years old or older),930
2010,Monterey,Teen Mothers (15 years old to 19 years old),731
2010,Monterey,Typical Aged Mothers (20 years old to 34 years old),4797
2010,Napa,Total Births,1484
2010,Napa,Older Mothers (35 years old or older),305
2010,Napa,Teen Mothers (15 years old to 19 years old),106
2010,Napa,Typical Aged Mothers (20 years old to 34 years old),1073
2010,Nevada,Total Births,717
2010,Nevada,Older Mothers (35 years old or older),135
2010,Nevada,Teen Mothers (15 years old to 19 years old),43
2010,Nevada,Typical Aged Mothers (20 years old to 34 years old),538
2010,Orange,Total Births,37443
2010,Orange,Older Mothers (35 years old or older),8036
2010,Orange,Teen Mothers (15 years old to 19 years old),2468
2010,Orange,Typical Aged Mothers (20 years old to 34 years old),26902
2010,Placer,Total Births,3703
2010,Placer,Older Mothers (35 years old or older),666
2010,Placer,Teen Mothers (15 years old to 19 years old),170
2010,Placer,Typical Aged Mothers (20 years old to 34 years old),2866
2010,Riverside,Total Births,29694
2010,Riverside,Older Mothers (35 years old or older),4092
2010,Riverside,Teen Mothers (15 years old to 19 years old),2873
2010,Riverside,Typical Aged Mothers (20 years old to 34 years old),22700
2010,Sacramento,Total Births,19421
2010,Sacramento,Older Mothers (35 years old or older),2920
2010,Sacramento,Teen Mothers (15 years old to 19 years old),1566
2010,Sacramento,Typical Aged Mothers (20 years old to 34 years old),14917
2010,San Benito,Total Births,722
2010,San Benito,Older Mothers (35 years old or older),128
2010,San Benito,Teen Mothers (15 years old to 19 years old),45
2010,San Benito,Typical Aged Mothers (20 years old to 34 years old),549
2010,San Bernardino,Total Births,29666
2010,San Bernardino,Older Mothers (35 years old or older),3652
2010,San Bernardino,Teen Mothers (15 years old to 19 years old),3361
2010,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),22625
2010,San Diego,Total Births,38880
2010,San Diego,Older Mothers (35 years old or older),7422
2010,San Diego,Teen Mothers (15 years old to 19 years old),2886
2010,San Diego,Typical Aged Mothers (20 years old to 34 years old),28543
2010,San Francisco,Total Births,8533
2010,San Francisco,Older Mothers (35 years old or older),3097
2010,San Francisco,Teen Mothers (15 years old to 19 years old),229
2010,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5207
2010,San Joaquin,Total Births,10381
2010,San Joaquin,Older Mothers (35 years old or older),1400
2010,San Joaquin,Teen Mothers (15 years old to 19 years old),1056
2010,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),7919
2010,San Luis Obispo,Total Births,2614
2010,San Luis Obispo,Older Mothers (35 years old or older),430
2010,San Luis Obispo,Teen Mothers (15 years old to 19 years old),196
2010,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1984
2010,San Mateo,Total Births,8402
2010,San Mateo,Older Mothers (35 years old or older),2476
2010,San Mateo,Teen Mothers (15 years old to 19 years old),285
2010,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5636
2010,Santa Barbara,Total Births,5592
2010,Santa Barbara,Older Mothers (35 years old or older),859
2010,Santa Barbara,Teen Mothers (15 years old to 19 years old),628
2010,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4104
